row_id,fix_size,gate_red_rounds,converged_clean,self_caught,review_verdict,evidence
1,3,0,1,0,NA,"moderate (doc corrections + 2 adopted pins + 2 minors)"
2,1,0,1,0,NA,"1 line (orchestrator-applied)"
3,4,0,1,0,NA,"substantial (token retype + strict maps + goldens + tangent_joints + save symmetry sweep)"
4,3,0,1,0,NA,"moderate (fillet Result + fit predicate + 6 pins)"
5,0,0,1,0,NA,"fix_pass: NONE (NOTEs banked for 8a latency data)"
6,NA,0,NA,0,NA,"row is entirely dashes — no fix_pass/battery data"
7,2,0,1,0,NA,"small (fallback fix + two-sided pin + narration)"
8,2,0,1,0,NA,"tiny (decimal slip + comment + coordinated pin flip)"
9,3,0,1,0,NA,"moderate (promotion + exhaustive kinds + baseline refresh; 1 finding DISPUTED upheld)"
10,2,0,1,0,NA,"light (lint_csv door + accounting + #120 golden regen)"
11,3,0,NA,0,NA,"moderate (3 MINs + CI row + computable deletion + 3 suite adoptions; in flight)"
12,2,0,1,0,NA,"light (2 doc MINs + wording NOTEs + 21 test adoptions)"
13,2,0,1,0,NA,"light (merged #130)"
14,3,0,NA,0,NA,"moderate in flight (binom_row exactness fix + curvo note + 4 reviewer-test adoptions)"
15,4,0,1,0,NA,"substantial (mechanical items + ruling increment: N5 amendment golden re-pin L7 grep)"
16,0,0,1,0,NA,"fix_pass: none yet; filter validated on 12 synthetic diffs"
17,3,0,1,0,NA,"moderate (shape-only Display branch + Invalid-arm carrier + 16 exactly-once pins)"
18,3,0,1,0,NA,"moderate (signed fold bit-identical corner-side + trio parity + cusp recourse)"
19,4,0,1,0,REJECT,"heavy (root-based crossing lane exposing+fixing 2 further latent defects; re-review APPROVE)"
20,3,0,1,0,NA,"moderate+ (roles corrected via Newell winding + NEW tier-3 loop-role gate)"
21,3,0,1,0,NA,"moderate (snap slack provably zero on minted caches + O(ε)-tightness pin)"
22,0,0,1,0,NA,"none (one NOTE fixed on-branch by orchestrator)"
23,2,0,1,0,NA,"light doc-level (honest cross-lane wording + ulp-perturbed determinism rows)"
24,3,0,1,0,NA,"moderate (two-tolerance definite arms + true centre-reduction bound); no re-review"
25,4,1,0,0,NA,"substantial (9 items) + ε-fix redirect after gate RED (multi-ε battery caught 1e-9 hardcoding)"
26,3,0,1,0,NA,"moderate (center-shift impl + non-monotone rewording + 10 probe rows adopted)"
27,1,0,1,0,APPROVE,"one-liner (orchestrator-applied per S7 precedent); APPROVE no fix pass"
28,4,3,0,0,NA,"then triple gate-red (2 lint rounds on adopted probes 4th interval-square occurrence)"
29,3,0,1,0,NA,"moderate+ (honest lane collapse + OpenClosedMixed wired + 22 probe rows adopted)"
30,0,0,1,1,APPROVE,"none (PR opened by orchestrator on APPROVE); 10 conversions self-reported as judgment calls"
31,3,0,1,0,NA,"moderate (proof scoped per-kind + option (d) pinned ×3; stale promise rewrites)"
32,3,1,0,0,APPROVE,"moderate (factor-2 accounting + corner-scan pin) + one multi-ε gate red"
33,2,1,0,0,NA,"light (3 doc MINs + probe adoptions) + one gate red (PR 9c message pin)"
34,2,0,1,0,APPROVE,"light (mef hazard banked + probes adopted)"
35,2,0,1,0,APPROVE,"light (2 doc MINs + NURBS hazard scoping + 4 probes)"
36,NA,0,1,0,NA,"F1–F5; all nine reviewer probes adopted 9/9"
37,2,0,1,0,APPROVE,"fix_pass: light; findings 0/2/3 APPROVE"
38,0,0,1,0,APPROVE,"none (nit); 0/1-nit APPROVE"
39,0,0,1,0,APPROVE,"none (one note orchestrator-applied); 0/0 APPROVE"
40,NA,2,0,0,APPROVE_WITH_FIXES,"F1–F6 + two gate-red rounds"
41,0,0,1,0,NA,"fix_pass: none; #167 27/27 green"
42,NA,0,1,0,NA,"fix_pass: —; docs-only; fmt-all --check clean"
M6-1,2,0,1,0,PASS,"light (2 MINs + probe adoptions via fresh finisher — transcript lost)"
M6-2,3,1,0,1,APPROVE_WITH_FIXES,"one unused import going CI-red; self-caught cross-scalar overclaim stop-and-reported"
M7-1,3,0,1,0,APPROVE_WITH_FIXES,"moderate (by-resolution unit/uncertainty checks + 19 review probes adopted)"
M7-2,3,1,0,0,APPROVE_WITH_FIXES,"one earlier hosted gate-red (ε=1e-6 pcurve certify on the mm corpus) root-caused"
M7-4,2,0,1,1,APPROVE_WITH_FIXES,"light+ ... multi-ε gap self-caught and fixed as honest weaker claims"
RIM-DIM,3,0,1,0,APPROVE_WITH_FIXES,"moderate (three-outcome ε-row pin with F4's live signature; probes adopted+ε-hardened)"
M6-3,2,1,0,0,APPROVE_WITH_FIXES,"light (5 comment/coverage items + probe adoption); six red jobs root-caused first"
F3+F4,3,0,1,0,APPROVE_WITH_FIXES,"moderate (dual-arm gate: sign-certain violation refuses dimension-free)"
