row_id,finding_id,raiser,short_desc,unilateral,defect_class,dedup_group,demonstrated,fair_pair,evidence,era
PIERCE,PIERCE-A1,A,cast_ray quadratic falsifies the STOP prose,yes,claim,PIERCE-a,no,no,"Prose falsifier against the STOP's sentence, no defect in shipped behaviour; STOP survives on the ring-lane leg. Excluded by (b). Pair excluded by (e): both arms killed mid-run and resumed from transcript",pre-5.1
PIERCE,PIERCE-A2,A,half-disc silent wrong union volume,unclear,code,PIERCE-b,yes,no,"Measured wrong value (7.003185307179585 vs 6.643185307179586) exists in the record, but attribution to RA as a review finding is ambiguous against the unit text. Pair excluded by (e)",pre-5.1
P-1a,P-1a-A1,A,D2 tripwire blind to iso slope 1.0 laundering,unclear,test-gap,P-1a-d2,yes,no,"Two surviving mutants is execution evidence, but RB also attacked the D2 row, so unilateral is not established. Pair EXCLUDED under (e): RA's batteries killed twice by the express-lane cap",pre-5.1
P-1a,P-1a-B3,B,iso move unbounded in anchor offset,unclear,code,P-1a-seam,yes,no,Likely dedups into the bilateral seam-meter defect. Pair excluded under (e),pre-5.1
CENSUS-G2,CENSUS-G2-A1,A,chart_region_parallel margin depends on which face is named first,yes,code,CENSUS-G2-a,yes,no,"5 cm vs 1 m edge certifies one way and refuses the other - a measured wrong verdict. PAIR EXCLUDED by the orchestrator's own admission: RA got a scope relaxation under mutex saturation that RB did not, so (e) fails. Finding real and fixed",pre-5.1
GUI-3,GUI-3-B1,B,DragValue commits per frame instead of on release,yes,code,GUI-3-a,no,yes,"Found by inspection on the GPU-excused widget surface; no execution. Excluded by (d), as the row states. Both reviews uninterrupted, no glimpses - fair pair",pre-5.1
GUI-2,GUI-2-A4,A,leave-viewport false disagreement,yes,code,GUI-2-d,no,unclear,"Read, not run - excluded by (d) as the row states. Pair carries an orchestrator BLINDING DEFECT (the GUI-LOG entry named GUI-2's arm; both arms had the reading). Not an interruption, so (e)'s letter does not bite, but the pair is contaminated and flagged",pre-5.1
GUI-4,GUI-4-A1,A,real-gallery interactions inert,yes,code,GUI-4-a,yes,unclear,"Demonstrated by execution. Pair BLINDING CONTAMINATED from three disclosed sources (GUI-2 log entry, GUI-B2 block record on main, PCURVE pointer comment on the PR); neither arm interrupted, so (e)'s letter holds, but the contamination is real and the row itself asks the blinded coding to weigh it",pre-5.1
LILYWELD1,LILYWELD1-A1,A,module header wall-text false (fourth instance of the class),yes,doc,LILYWELD1-a,yes,no,"Doc-class, excluded by (b) as the row states. PAIR EXCLUDED by (e): RB was limit-killed mid-run and resumed",pre-5.1
F7POLE,F7POLE-A3,A,the exemption unlocks nobody; merge OUTPUT dead-ends regardless,yes,contract-API,F7POLE-c,unclear,yes,"Unilateral is well supported. The row asserts tally-eligibility, which presupposes (d), but states NO execution evidence for this leg - the reachability claim reads as a code/dead-end argument. Demonstrated coded unclear against the row's verdict. Pair clean (clean pair 2 toward twelve)",pre-5.1
P-1b,P-1b-A1,A,PR-cited green CI run is cancelled and on a different SHA,yes,claim,P-1b-a,yes,yes,"Unilateral and verified, but the defect is in the PR's record/claim, not in code, tests or a contract surface - (b) excludes it. This departs from the row, which counts RA's unilateral pair as THE v6 tally candidate",pre-5.1
P-1b,P-1b-A2,A,two committed test rows red on the frozen head,yes,code,P-1b-b,yes,yes,Executed: the rows are red on the frozen head. Code/test-class and demonstrated. This is the leg of the pair that actually satisfies (b) and (d),pre-5.1
P-1b,P-1b-A3,A,declared authority record metered nowhere,yes,code,P-1b-c,yes,yes,"Committed reproduction: a declaration hundreds of units off the body certifies clean and passes tier 3. Distinct defect from the red rows, though the row links it causally to both late defects - dedup kept separate with that caveat",pre-5.1
M10-1,M10-1-A1,A,deep-tail cancellation silently zeros real tail mass,yes,code,M10-1-a,yes,unclear,"Silent wrong value, demonstrated, adjudicated real and fixed. Fair pair coded unclear: RA's report is TRUNCATED - the rubric triple is missing because the orchestrator reclaimed the review worktree before report time and the lane could not be resumed. Findings complete, but (e)'s letter reaches truncation",pre-5.1
M10-DI,M10-DI-B1,B,three of four certifying policy arms survive gutting,yes,test-gap,M10-DI-a,yes,yes,"Demonstrated by mutation testing. Test-gap IS an admitted class under (b), so this is a live tally candidate - the row hedges it as 'test-coverage class, the LILYWELD 3b precedent suggests exclusion', which misreads (b): only doc- and claim-only findings are excluded. Briefs symmetric, no relaxations, pair counts",pre-5.1
M10-DI,M10-DI-B3,B,DL3 witness names false,yes,doc,M10-DI-c,yes,yes,"Measured (2 of 18), but the defect is in the spec text - doc-class, excluded by (b)",pre-5.1
M10-DI,M10-DI-B4,B,DL5 selection clause self-contradiction,yes,doc,M10-DI-d,unclear,yes,"Doc-class, excluded by (b). Adjacent to RA s DL5 remedy-clause MINOR but not the same statement",pre-5.1
M10-P,M10-P-B1,B,interval-box door undisclosed / unreachable,yes,doc,M10-P-c,no,yes,"Adjudicated as a disclosure gap, not machinery (the door IS M10-3's first spec bullet) - doc-class, excluded by (b). The unit lane (not a reviewer) died at a session limit; briefs symmetric, no relaxations, so the review pair is fair",pre-5.1
CERT2,CERT2-B1,B,three live D285-spelling predicate siblings in-fence,yes,code,CERT2-c,no,yes,"No execution at the three sites - (d) excludes, as the row anticipates. Method identical and pre-recorded; the cross-slot contamination was fix-phase, so the review pair is fair",pre-5.1
CERT1,CERT1-B1,B,near-polar escalation regression (certify-exactly flipped to refusal on an ordinary vertex),yes,code,CERT1-a,yes,unclear,"Executed through the import door; regression vs the fold-disabled code. Fair pair coded unclear: the dispatcher deviations-brief contamination is recorded as having shaped one REVIEW COLUMN, which is an arm-level asymmetry even though the method was identical",pre-5.1
CERT1,CERT1-B2,B,membership test accepts a 3*pi span at -50% volume (native-API-reachable),yes,code,CERT1-b,yes,unclear,"Executed, measured wrong value. Same fair-pair caveat as CERT1-B1",pre-5.1
M10-3,M10-3-B2,B,duplicate verdict-diff engine by positional zip,unclear,code,M10-3-b,no,unclear,"Unilateral holds, but (d) is not met on the record: the finding rests on a 17-line soundness argument about the rejected method, with no execution, red probe or measured wrong value stated. Fair pair unclear: RB delivered without the rubric triple and was resumed post-report for it",pre-5.1
M10-2,M10-2-A1,A,false PASS from the assertion node on a non-finite measure,yes,code,M10-2-b,yes,no,"Executed, silent wrong verdict. PAIR FAILS (e) on the letter: BOTH reviewer lanes were killed mid-review by the same account-session-limit wave and resumed hours later. The orchestrator judged the interruption symmetric and scored the pair; 3(e) excludes interrupted pairs regardless of symmetry",pre-5.1
BLEND3,BLEND3-B1,B,deviation precedent inverted; the minted CornerConfig variant not forced,yes,unclear,BLEND3-a,unclear,yes,"Unilateral is solid. Defect class unclear: the precedent-inversion half is a record/justification defect (claim-class, excluded by (b)) while the not-forced half is an API-surface minimality defect (contract-API, admitted). Demonstrated unclear: git log dating is not one of (d)'s named instruments, though the byte-identical (0, Chamfer) arm is a real measurement. Departs from the row, which counts this as tally candidate #1 without qualification",pre-5.1
