row_id,sample_no,status,r1_maj,r1_min,r1_note,r1_idiom,r1_tests,r1_docs,r1_verdict,r2_maj,r2_min,r2_note,r2_idiom,r2_tests,r2_docs,r2_verdict,converged_majors,notes,reviewer_pairing
G1,1,valid,1,1,3,5,4,4,APPROVE_WITH_FIXES,1,1,2,5,4,5,APPROVE_WITH_FIXES,1,"CONVERGED on the identical MAJOR; MINOR/NOTE tails disjoint (R1 2 items; R2 3 items); same verdict label from both",same_model
U7,2,valid,0,1,3,5,5,4,APPROVE,0,1,3,5,5,5,APPROVE_WITH_FIXES,1,"Converged on zero MAJORs; disjoint doc-only MINOR tails; verdict labels differed APPROVE vs APPROVE-WITH-FIXES on identical 0/1/3 counts",same_model
U5,3,valid,0,2,5,5,3,4,APPROVE_WITH_FIXES,0,2,2,5,4,4,APPROVE_WITH_FIXES,1,"CONVERGED 0 MAJORs; the SAME doc falsity found independently; disjoint NOTE tails (R1 module-path key residue; R2 edge_frame coverage)",same_model
SWITCH-E,4,valid,2,2,6,NA,NA,NA,APPROVE_WITH_FIXES,2,NA,NA,NA,NA,NA,NOT_MERGEABLE,1,"FULL CONVERGENCE on both MAJORs independently executed; verdict LABELS differed on identical findings - explicitly called calibration data",same_model
DOORS,5,valid,0,3,4,5,4,4,APPROVE_WITH_FIXES,0,2,3,5,4,4,APPROVE_WITH_FIXES,1,"Both 0 MAJORs; CONVERGED on two tail items and overturned the implementer F6 no-change call; R1-unique silent LiteralError payload drop",same_model
U10,6,valid,0,1,4,5,5,4,APPROVE_WITH_FIXES,0,2,4,5,4,4,APPROVE_WITH_FIXES,1,"Both 0 MAJORs; CONVERGED on the shipped corpus-count factual error 17->16; R2-unique undischarged per-gap pointer clause",same_model
ASM-1,7,valid,0,1,4,5,5,4,MERGEABLE,0,3,4,5,4,3,APPROVE_WITH_FIXES,1,"CONVERGED on the one headline gap; verdict LABELS differed on identical 0-MAJOR substance; disjoint tails; R2 glimpsed R1 probe tooling",same_model
ASM-2K,8,valid,0,2,3,5,4,4,MERGEABLE,0,1,4,5,4,5,MERGEABLE,1,"FULL convergence incl. LABELS (first sample); converged MINOR = single-solid wording at the N-solid refusal; NOTE tails differ 3 vs 4",same_model
M8-14a,9,valid,0,2,2,5,3,5,APPROVE_WITH_FIXES,2,1,2,5,3,5,APPROVE_WITH_FIXES,0,"MAJ 0 vs 2 - TYPE (b): the SAME gap was MINOR to R1 by inspection and MAJOR to R2 by demonstration (2 unsound mutants survived the suite)",same_model
M8-14b,10,valid,2,3,4,5,NA,5,NOT_MERGEABLE,3,3,4,5,NA,4,NOT_MERGEABLE,0,"MAJ 2 vs 3 - TYPE (a): strong convergence on 4 executed finds; R2 carried the extra MAJOR in its disjoint tail; no severity re-class stated",cross_model
RETTAIL,11,valid,0,0,3,5,5,4,APPROVE,0,2,3,5,5,4,APPROVE,1,"Both 0 MAJORs; CONVERGED incl. labels; both mutation-proved the twins with distinct mutations; tiny disjoint tails",same_model
U4A-DOOR,12,valid,0,2,NA,5,4,4,APPROVE_WITH_FIXES,0,3,4,5,5,4,APPROVE_WITH_FIXES,1,"Both 0 MAJORs; CONVERGED incl. LABELS; complementary tails (R1 the Sign::Zero cusp defect; R2 a stronger bitwise pin); R1 NOTE unstated",cross_model
M9-1-PR1,13,valid,2,5,3,4,4,4,APPROVE_WITH_FIXES,1,5,3,4,4,4,APPROVE_WITH_FIXES,0,"MAJ 2 vs 1 - TYPE (a): both proved the op-door corpus lie; R1 alone raised the Tangent-bridge MAJOR (ruled ESCALATE); no re-class stated",same_model
M9-2-PR1,14,pending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISPATCHED at ordinal 42; unit row records at PR-2 merge so NO findings exist in the log yet; third v4 dual block byte 121 parity 1",cross_model
M9-D1,15,valid,0,0,3,5,5,5,APPROVE,0,1,3,NA,NA,NA,APPROVE,1,"Both 0 MAJORs; CONVERGED; R2-unique MINOR = the theta<0 non-reversed arm had no shipped row; R2 rubric only in its report",same_model
M9-2-PR2,16,pending,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISPATCHED at ordinal 48; row records at PR-2 merge so NO findings exist in the log yet; fourth v4 dual block byte 88 parity 0",same_model
M7-6,NA,struck,1,4,3,4,2,3,NOT_MERGEABLE,0,1,3,5,4,4,APPROVE,NA,"STRUCK: R1 reviewed the PRE-fix head and R2 the POST-fix head - sequential not same-head; R1 re-review later flipped to APPROVE",same_model
# excluded-from-dual-count: KLINT-GATE, WMONTAGE, CALOCH, RENDER-CLI — each row's own cell says "EXCLUDED from comparison + dual-review count" (CI-infra / demo / orchestrator-review classes). GUARD, RTIMEOUT, MONTAGE, MV2, REBASELINE, PY-CI are the same no-blinded-lane classes cited as the precedent chain but do not carry the phrase themselves; rows 16/41/42 predate dual sampling entirely.
# struck-with-reason: M7-6 — R1's primary review ran on the PRE-envelope head and R2 on the post-fix head (different code), so the pair is sequential-review data, not same-head reviewer variance; the log flags it "NOT VALID DUAL-REVIEW DATA — STRUCK FROM THE VARIANCE SAMPLE"
# pending-rows: M9-2-PR1 (#14) and M9-2-PR2 (#16) are DISPATCHED duals whose ordinals, reviewer pairing and dual-block draws are recorded, but whose unit row (and therefore both reviewers' finding counts, rubrics and verdicts) records only at M9-2 PR-2's merge, which has not happened. status=pending is a THIRD status value added for them so they are excluded from any valid-pair filter while keeping their pairing on file.
# row-id note: sample #13 sits on M9-1's PR-1 and samples #14/#16 on M9-2's PR-1/PR-2, so those three ids are PR-scoped (M9-1-PR1 / M9-2-PR1 / M9-2-PR2) rather than bare log row ids; M9-2 has no table row yet.
# rubric-source: G1/U5/ASM-1/ASM-2K/M9-1 state per-reviewer rubrics inline and the idiom/tests/docs columns carry the matching R1/R2 pairs. DOORS/U10/RETTAIL/U4A-DOOR/M8-14a/M8-14b have no inline per-reviewer rubric, so theirs are decoded from the paired columns (e.g. U10 idiom 5/5, tests 5/4, docs 4/4 => R1 5/5/4, R2 5/4/4). M9-1's cell says "rubric 4/4/4 both".
# rubric-conflict-U7 (CHANGED 2026-08-15 from the earlier pass): commit 71ebdc2a "A/B ledger backfill ... filled from surviving review reports" replaced U7's inline "rubric (in report)" with explicit "R1 rubric 5/5/4; R2 rubric 5/5/5" but did NOT update the row's idiom/tests/docs columns, which still read 5/5 | 4/5 | 4/4 (decoding to R1 5/4/4, R2 5/5/4). The log now CONTRADICTS itself on U7's tests (R1) and docs (R2). This file follows the inline per-reviewer backfill because it is attributed per reviewer and sourced from the surviving review reports; the earlier column-derived values were R1 5/4/4 and R2 5/5/4.
