sample_no,row_id,raised_by,raiser_model,other_model,correspondence,other_severity,short_desc,evidence
17,TESS-SPAN,R2,opus,fable,severity_split,MINOR,max-of-cells cert mutation untested (survived 40/40),"both demanded the same missing test (R2 MAJ-1 = R1 MIN-2: the max-of-cells mutation survived 40/40)"
17,TESS-SPAN,R2,opus,fable,unilateral,none,malign test measured pre-ceil h_v not realized s_v,"DISJOINT: R2 alone found the malign test measuring pre-ceil h_v instead of realized s_v"
17,TESS-SPAN,R2,opus,fable,unilateral,none,SAFE_ASPECT=5 vs sqrt(15)=3.87 doc falsehood,"DISJOINT: R2 alone found ... the SAFE_ASPECT=5 vs sqrt-15~3.87 doc falsehood"
17,TESS-SPAN,R2,opus,fable,severity_split,MINOR,stale meter-independence claims at 8-9 sites,"both caught the stale meter-independence claims (R2 MAJ-4 = R1 MIN-4 8-9 sites)"
19,RIM,R2,opus,fable,unilateral,none,docs/KERNEL-VERBS defect entry still asserts fixed defect,"MAJ-1/2 silent: the prose sweep stopped at the crate boundary ... disjoint tails each real each landed"
19,RIM,R2,opus,fable,unilateral,none,demos/README:541 still asserts the fixed defect,"docs/KERNEL-VERBS' own defect entry and demos/README:541 still asserted the fixed defect"
19,RIM,R2,opus,fable,severity_split,MINOR,C6 claim refuted on a built body (near-period open arcs),"C6 refuted independently by both; R1 AWF 0/2/3 (MIN PR-body C6 claim false)"
19,RIM,R2,opus,fable,unilateral,none,design ruling unpinned; planted bolt-on passed the suite,"MAJ-4: a planted closed-case bolt-on passed the PR's whole suite only R2's open-arcs row reds"
19,RIM,R2,opus,fable,unilateral,none,chain_g1 doc claimed an arm gate the dihedral never had,"MAJ-5 silent: chain_g1 doc claimed an arm gate the dihedral never had - the missing gate IS #554's mechanism"
20,SSIFLAT,R2,opus,fable,severity_split,MINOR,payload dishonest for 3 of 6 definite refusal arms,"both found the definite-arm dishonesty; R1 APPROVE 0/2/1 (MIN: Value-projection overstatement)"
20,SSIFLAT,R2,opus,fable,unilateral,none,reachable surviving manufactured NaN (empty tube ladder),"MAJ-2: a REACHABLE surviving manufactured NaN ... probe-verified green from a public door; both tails real"
20,SSIFLAT,R2,opus,fable,unilateral,none,lossless enum sibling + renderer both bypassed,"direct judgment contradiction (R1 idiom 5/5 'reuses the classifier's vocabulary' vs R2's proof of the bypassed sibling)"
21,ASM-DEMO,R2,opus,fable,severity_split,MINOR,stale patterned-post gap comment the run disproves,"both found the same three headline defects (the stale patterned-post gap comment the run itself disproves"
21,ASM-DEMO,R2,opus,fable,severity_split,MINOR,'both directions' identity is cardinality-only inline,"'both directions' name identity actually cardinality-only on the inline side"
21,ASM-DEMO,R2,opus,fable,severity_split,MINOR,'minted' prints findings.len() from a variant w/o list,"'minted' printing findings.len() from an arm whose variant carries no minted list"
22,TUBEWALL,R2,opus,fable,unilateral,none,realized gap minor-wall never decided; bore rounds onto wall,"the realized gap 'minor - wall' was never decided so at km-scale radii the subtraction rounds the bore onto the wall"
22,TUBEWALL,R2,opus,fable,unilateral,none,WallBelowResolution guard silently deleted by rewrite,"the branch's own first commit HAD the guard and the metering rewrite silently deleted it - the one silent deviation"
22,TUBEWALL,R2,opus,fable,unilateral,none,merit sentence backwards for the collapse regime,"the merit sentence was backwards for that regime; R2 found it; R1's fixtures never reached that regime (PR #960)"
10,M8-14b,R1,fable,opus,both_major,MAJOR,turning witness did not gate (silent false promotion),"MAJOR-1 - the turning witness did not gate. Both reviews independently constructed and executed a silent false promotion"
10,M8-14b,R1,fable,opus,both_major,MAJOR,witness-deletion/mutations survived the whole suite,"MAJOR-3 - every surviving mutation now goes RED (table credits R1 P1/P2/P3/P5 and R2-A/R2-C probes)"
10,M8-14b,R2,opus,fable,both_major,MAJOR,turning witness did not gate (silent false promotion),"MAJOR-1 ... Both reviews independently constructed and executed a silent false promotion (R1 one-third; R2 300 deg)"
10,M8-14b,R2,opus,fable,both_major,MAJOR,witness-deletion/mutations survived the whole suite,"MAJOR-3 - every surviving mutation now goes RED (table credits R1 P1/P2/P3/P5 and R2-A/R2-C probes)"
10,M8-14b,R2,opus,fable,unclear,unknown,C6 pin green for the wrong reason (died off-locus),"log lists 'C6 vacuous' among the CONVERGENCE items but PR #391 credits the measurement to R2; R1's severity unstated"
NA,RESPELL-PR2,R2,opus,fable,unclear,unknown,deleted probe rows cited as surviving in four texts,"CONVERGED on the headline (review_s8_probe's kernel-facing rows deleted yet cited as surviving in four texts)"
NA,RESPELL-PR2,R2,opus,fable,unilateral,none,PointLeg claimed sealed but foreign-implementable,"R2-unique complementary MAJOR: PointLeg claimed sealed but foreign-implementable (proven by compiling an external impl)"
18,ONARC,R1,fable,opus,unilateral,none,objective regression: both 1e-12 CI shards red,"R1-unique = the OBJECTIVE regression (both 1e-12 shards red on the head's own CI) which R2 MISSED entirely"
18,ONARC,R1,fable,opus,unclear,unknown,R1's second MAJOR not separately identified,"R1 NOT-MERGEABLE-AS-IS 2/3/6; only R1-M1 is named in the row and in PR #608's disposition list"
24,OFFB,R1,fable,opus,both_major,MAJOR,certify_offset unweighted rational-fit read (unsound cert),"both independently demonstrated the SAME blocker (certify_offset's unweighted rational-fit read) each with own red probe"
24,OFFB,R2,opus,fable,both_major,MAJOR,certify_offset unweighted rational-fit read (unsound cert),"M1 (converged blocked merge) ... measured under-reports of ~230x (r1) and ~1800x (r2)"
24,OFFB,R2,opus,fable,severity_split,MINOR,sweep report wrong (stale coverage claim),"M2 / MINOR-3 (converged) | the sweep report was wrong; corrected below (PR #1003 disposition table)"
24,OFFB,R2,opus,fable,unilateral,none,regularity lever directionally inverted,"the regularity lever DIRECTIONALLY INVERTED - large |d| permissive where it is the dangerous side"
24,OFFB,R2,opus,fable,unilateral,none,small-|d| certificate wall ('inf' at d=1e-6),"R2's real divergent tail: ... and the small-|d| certificate wall (~1/|d| relative accuracy 'inf' at d=1e-6)"
