row_id,character,design_load,debug_load,scope_size,evidence
1,diagnose_repair,3,3,4,one credited a main bug the fix already fixed
2,diagnose_repair,1,2,1,#99 tour ε-panic ... 1 line (orchestrator-applied); zero kernel diff
3,build_new,4,2,5,M4 PR 6 persistence ... token retype + strict maps + goldens + save symmetry sweep
4,mixed,3,3,3,#101 declared tangency ... fillet Result + fit predicate + 6 pins
5,diagnose_repair,2,3,2,fresh probes: main refuses branch exact 8.25
6,build_new,4,2,4,thin-row
7,infra_docs,2,2,2,A×Z render scene ... fallback fix + two-sided pin + narration
8,diagnose_repair,2,4,3,#111 CDT needle triangle ... decimal slip + comment + coordinated pin flip
9,infra_docs,3,2,4,M4 PR 8a corpus+latency ... corpus/persistence/latency rows
10,infra_docs,3,2,3,M4 PR 8b K-lint + pickups ... planted-fragility catch 175 flags
11,migrate_refactor,2,2,3,M5 PR 1 interval-crate adoption ... computable deletion + 3 suite adoptions
12,build_new,4,2,5,M5 PR 3 NURBS substrate part 1 ... all 21 reviewer attacks held
13,build_new,4,2,3,M5 PR 2 C9 interval ring ... sign clamp + zero annihilator proven as ℝ-facts
14,build_new,4,2,5,M5 PR 4 projection+fitting+LSQ ... direct bound survived ~1M-sample falsification
15,build_new,4,2,4,M5 PR 8 BVH crate + sweep wiring ... both MAJ = design forks ruled by Evan
16,infra_docs,2,2,2,CI dependency-closure filter (determinator/nextest eval) ... CI infra
17,migrate_refactor,2,2,3,two-tolerance message sweep ... no-semantic-change proven by full-diff read
18,build_new,3,2,3,M5 S2 arc-leg fillet sugar ... construction math fully verified
19,mixed,4,4,5,root-based crossing lane exposing+fixing 2 further latent defects
20,mixed,3,4,3,silent corrupt STL via hole-creating merge role inversion — pre-existing machinery
21,build_new,4,3,4,M5 PR 6 certified pcurve storage ... snap slack provably zero on minted caches
22,infra_docs,2,2,2,M5 S7 CI/docs hygiene (ε-row retirement + cache-key audit)
23,build_new,5,1,3,nearest-corner fillet selection ladder ... mixed enclosing/non-enclosing impossibility proved
24,diagnose_repair,3,4,3,chord_spec azimuth-window repair ... silent wrong body independently confirmed at merge-base
25,build_new,5,3,5,M5 PR 7 SSI (march + three-limb certificate) ... core held under adversarial re-derivation
26,build_new,4,3,4,tensor Bernstein compose + plane×NURBS retirement ... bound 6.5 orders tighter
27,infra_docs,2,2,2,M5 demo unit: rocker arc-fillet stop + staged tiltedcut
28,mixed,5,5,5,Interval root cause (infinity seeds + branch-cut-free cone) ... then triple gate-red
29,build_new,4,3,5,M5 PR 10 sweeps/lofts + schema v2 clean break ... closed-form loft between sections
30,migrate_refactor,2,1,3,55+6 sites converted 2 false positives restructured 54 allowlisted
31,mixed,4,4,4,banked completions (sphere doors + blocker map) ... five executed blockers re-planned the milestone
32,build_new,4,3,5,M5 PR 11 tessellation + certified quadrature ... star find = the accidentally-load-bearing factor-2
33,build_new,3,3,3,M5 S10 face orientation sense ... the enabling infrastructure for S11's fix
34,mixed,5,3,3,criterion survived 6 adversarial constructions unmodified ... containment defects DEAD
35,build_new,3,3,3,curved revert wiring + per-class ∖/∩ opening ... class boundary proven COMPLETE
36,mixed,3,3,3,die-pips enablers ... MAJ = new executed: the multi-normal escape hole
37,build_new,3,2,3,M5 PR 13 curved STEP subset ... 0/2/3 APPROVE
