row_id,finding_id,raiser,short_desc,correspondence,counterpart_severity,notes,era
PIERCE,PIERCE-A1,A,cast_ray ray x cylinder quadratic falsifies the STOP's no-root-finder-anywhere sentence,unilateral,none,RB's named finds do not touch it; row itself declares it unilateral but claim-class,pre-5.1
PIERCE,PIERCE-A2,A,half-disc silent wrong union volume,unclear,none,"listed as an RA unique find, but the unit text already records the same wrong-union-volume measurement as the PR's own; cannot tell whether RA raised a new defect or re-measured the implementer's",pre-5.1
PIERCE,PIERCE-B1,B,the arc-loop remainder (shared central defect),bilateral,MAJOR,row states CONVERGED on the shared central defect; recorded once for the pair,pre-5.1
TEAPOT,TEAPOT-B1,B,junction tables never ran hosted (k-lint silent-coverage face),bilateral,mentioned (opposite verdict),row: RA mentioned with an opposite verdict via its ci.yml read; conflict resolved to RB. Mention at any severity defeats unilateral,pre-5.1
TEAPOT,TEAPOT-B2,B,#1082 discriminator wrong (annular mouths need a face split),bilateral,MAJOR,row: the demonstrated core dedups into the bilateral #1082 defect,pre-5.1
TEAPOT,TEAPOT-B3,B,tangent non-attribution premise false (a not-tangent dome refuses identically),bilateral,mentioned (opposite verdict),row: mentioned by RA with opposite verdict,pre-5.1
P-1a,P-1a-B1,B,"gate red at the frozen head (d2 row failing, demos/tour not compiling)",bilateral,MAJOR,row: RA found the same gate red,pre-5.1
P-1a,P-1a-B2,B,seam meter changed QUANTITY not bits (cone sec-alpha; edge escalates),bilateral,MAJOR,row: RA reached the same seam finding independently and wider,pre-5.1
P-1a,P-1a-B3,B,iso move unbounded in anchor offset (t0 1e6 -> 7.0e14 ULP),unclear,unclear,plausibly the same seam/iso meter family RA measured (cone 6.7e14); row does not separate them,pre-5.1
P-1a,P-1a-A1,A,D2 tripwire BLIND to the laundering it exists to catch (two mutants survived),unclear,unclear,"RB separately faulted the D2 row (one eps point generalized to a class fact); same row, arguably one underlying weak-test defect, but the two statements are not the same finding",pre-5.1
CENSUS-G2,CENSUS-G2-A1,A,chart_region_parallel levers its margin by the FIRST polygon edge length (verdict depends on naming order),unilateral,none,RB attacked the lemma and reported zero disagreements; no mention of this gate at any severity,pre-5.1
GUI-0,GUI-0-A1,A,pncad::tolerance::witness() door bypasses the gate Tol::witness string-grep,severity_split,MINOR,"row calls every substantive finding bilateral; RB raised the SAME gate hole explicitly at MINOR, so this is a severity split, not agreement at severity",pre-5.1
GUI-1,GUI-1-B1,B,intermediate overflow breaks the conservative-superset contract (committed red witness),severity_split,MINOR/NOTE (inferred),"row says bilateral; RA A-W-F 0/3/5 has zero MAJORs, so RA necessarily carried the same overflow hole below MAJOR",pre-5.1
GUI-1,GUI-1-A1,A,NodePick provenance gap - confident wrong name on sibling extrudes,unclear,unclear,"RA raised it, RB is not recorded either way; RA has 0 MAJORs so it is not a MAJOR finding - recorded only to note the asymmetry",pre-5.1
GUI-3,GUI-3-B1,B,param DragValue commits one edit PER FRAME of a drag,unilateral,none,RA never mentions the drag-commit surface; row agrees unilateral,pre-5.1
GUI-3,GUI-3-A1,A,canceled evaluation runs LAND and blank the tree,severity_split,MINOR,"row calls it bilateral with RB m-1; RB A-W-F 1/4/6 has its single MAJOR elsewhere (the DragValue), so RB carried this below MAJOR",pre-5.1
GUI-3,GUI-3-A2,A,ThreadEvaluator does not coalesce while the doc promises it,severity_split,MINOR,same reasoning: RB m-2 is below RB s only MAJOR,pre-5.1
