row_id,raiser_model,short_desc,defect_class,adjudication,demonstrated,severity_fair,evidence
TESS-SPAN,opus,malign-band snap tested pre-ceil h_v not realized s_v,code_defect,accepted_fixed,yes,yes,"executed fixture 4.785 measured vs 9.091 realized; fix moved the snap to REALIZED spacings changing shipped output by +3.0% cells"
TESS-SPAN,opus,SAFE_ASPECT=5 sits above the derived sqrt(15)~3.87 line,doc_or_claim,accepted_fixed,no,overflagged,"doc-only fix; constant unchanged; the (3.87 5] gap stays held by measured margin + typed refusal backstop - a claim defect not behaviour"
RIM,opus,docs/KERNEL-VERBS #554 register entry still asserted the fixed defect,doc_or_claim,accepted_fixed,no,overflagged,"stale prose located by grep and rewritten in the fix pass; in v5 review scope but doc-only; same class as the demos/README site"
RIM,opus,demos/README:541 klein row still asserted the fixed defect,doc_or_claim,accepted_fixed,no,overflagged,"second site of the same stale-prose class as the KERNEL-VERBS finding; one-line fix; no shipped behaviour wrong"
RIM,opus,planted closed-case bolt-on passed the PR's whole suite,test_gap,accepted_fixed,yes,yes,"planted mutant survived every existing row; only R2's open-arcs row reds; R2 probe file 4a92ca78 adopted authorship-preserving"
RIM,opus,chain_g1 doc claimed an arm gate convexity_at never had,code_defect,accepted_fixed,no,yes,"fix added the fillet3_chain_arm gate at the Link site so a collapsed arm escalates Invalid; the missing gate IS #554's own mechanism"
SSIFLAT,opus,reachable surviving manufactured NaN (empty tube ladder),code_defect,accepted_fixed,yes,yes,"R2 probe reached CertificateLimb{Tube NaN} from a public door on a 10-micron arc; fixed at SOURCE as TubeLadderEmpty/TubeProbeSilent"
SSIFLAT,opus,lossless enum sibling + IndeterminatePayload renderer both bypassed,code_defect,accepted_fixed,yes,yes,"escalations now carry MarginDiag whole through that renderer's first consumer; R1 scored the same code idiom 5/5 - a direct contradiction"
TUBEWALL,opus,realized gap minor-wall never decided; bore rounds onto the wall,code_defect,accepted_fixed,yes,yes,"218 configs measured at 1e-12 from r~5.24e5 m; Carried{Positive} was a FALSE certificate over two coincident circles; third decide added"
TUBEWALL,opus,WallBelowResolution guard silently deleted by the metering rewrite,code_defect,accepted_fixed,yes,yes,"traced to the branch's own first commit c56c77d5 - a real silent deviation but the provenance half of the gap finding not an independent one"
TUBEWALL,opus,merit sentence backwards for the collapse regime,doc_or_claim,accepted_fixed,yes,overflagged,"PR-body section conceded 'wrong by omission' and rewritten; no shipped behaviour wrong; third MAJOR drawn from one collapse-regime defect"
RESPELL-PR2,opus,PointLeg claimed sealed but foreign-implementable,contract_api,accepted_fixed,yes,yes,"R2 compiled an external impl; fix sealed it with an E0277 compile_fail pin; the (state mode) matrix is the doctrine's closure claim"
ONARC,fable,both 1e-12 CI shards red - never-build class silently building,code_defect,accepted_fixed,yes,yes,"objective regression on the head's own CI; a ~1.2e-5 sliver emitted at the strictest band; funnel fix per orchestrator ruling; R2 missed it"
OFFB,opus,regularity lever directionally inverted in |d|,code_defect,accepted_fixed,yes,yes,"r2 rows p6/p6b went red: permissive at large |d| and refusing a regular quarter cylinder at small d; re-derived d-independent"
OFFB,opus,small-|d| certificate wall ('inf' at d=1e-6),code_defect,accepted_fixed,yes,yes,"sharper denominator landed: micron offset inf -> ~3.2e-4 and every bound tightened 3-5x -> 2-3x; unresolved residue banked as #1008"
